File_Location,File_Name,File_Type,First_50_Bytes
C:\Users\John\Desktop\File,File037,PKZIP_archive_1,50 4b 03 04 0a 00 00 00 00 00 00 00 21 00 ff ff ff ff 35 02 00 00 35 02 00 00 10 00 00 00 5b 74 72 61 73 68 5d 2f 30 30 30 30 2e 64 61 74 ff ff ff ff
C:\Users\John\Desktop\File,File038,ISO_9660_CD_Disc_Image,43 44 30 30 31 2e 36 0a 25 f6 e4 fc df 0a 31 20 30 20 6f 62 6a 0a 3c 3c 0a 2f 4d 65 74 61 64 61 74 61 20 32 20 30 20 52 0a 2f 4c 61 6e 67 20 28 65 6e
C:\Users\John\Desktop\File,File039,Windows_Script_Component_UTF_8_1,ef bb bf 3c 23 0a 2e 53 59 4e 4f 50 53 49 53 0a 09 49 6e 73 74 61 6c 6c 73 20 44 69 73 63 6f 72 64 0a 2e 44 45 53 43 52 49 50 54 49 4f 4e 0a 09 54 68
C:\Users\John\Desktop\File,File040,None,40 65 63 68 6f 20 6f 66 66 0d 0a 73 65 74 20 69 6e 70 75 74 3d 68 65 6c 6c 6f 0d 0a 73 65 74 20 72 65 76 65 72 73 65 64 3d 0d 0a 66 6f 72 20 2f 6c 20
C:\Users\John\Desktop\File,File041,None,89 50 4e 47 0d 0a 1a 0a 00 00 00 0d 49 48 44 52 00 00 03 88 00 00 04 ec 08 06 00 00 00 c2 72 ac 0c 00 01 00 00 49 44 41 54 78 9c ec fd e9 92 24 4b 92
C:\Users\John\Desktop\File,File042,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File043,PKZIP_archive_1,50 4b 03 04 14 00 02 00 08 00 4a 24 76 59 fb 70 55 3b 11 53 00 00 49 4e 03 00 11 00 11 00 77 6f 72 64 2f 64 6f 63 75 6d 65 6e 74 2e 78 6d 6c 55 54 0d
C:\Users\John\Desktop\File,File044,None,40 65 63 68 6f 20 6f 66 66 0d 0a 73 65 74 6c 6f 63 61 6c 20 65 6e 61 62 6c 65 64 65 6c 61 79 65 64 65 78 70 61 6e 73 69 6f 6e 0d 0a 73 65 74 20 77 6f
C:\Users\John\Desktop\File,File045,Windows_executable,ff d8 ff e1 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
C:\Users\John\Desktop\File,File046,Windows_DOS_executable_file,4d 5a 00 01 01 00 00 00 08 00 10 00 ff ff 08 00 00 01 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File047,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File048,Windows_Script_Component_UTF_8_1,ef bb bf 3c 23 0a 2e 53 59 4e 4f 50 53 49 53 0a 09 50 72 69 6e 74 73 20 74 68 65 20 53 48 41 31 20 68 61 73 68 20 6f 66 20 61 20 66 69 6c 65 0a 2e 44
C:\Users\John\Desktop\File,File049,Windows_Script_Component_UTF_8_1,ef bb bf 3c 23 0a 2e 53 59 4e 4f 50 53 49 53 0a 09 49 6e 73 74 61 6c 6c 73 20 62 61 73 69 63 20 61 70 70 73 0a 2e 44 45 53 43 52 49 50 54 49 4f 4e 0a
C:\Users\John\Desktop\File,File050,None,40 65 63 68 6f 20 6f 66 66 0d 0a 73 65 74 20 2f 61 20 63 6f 6c 6f 72 3d 25 72 61 6e 64 6f 6d 25 20 25 25 20 31 36 0d 0a 63 6f 6c 6f 72 20 25 63 6f 6c
C:\Users\John\Desktop\File,File051,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
