File_Location,File_Name,File_Type,First_50_Bytes
C:\Users\John\Desktop\File,File102,Windows_animated_cursor,52 49 46 46 57 41 56 45 2d 31 2e 36 0d 25 e2 e3 cf d3 0d 0a 35 39 20 30 20 6f 62 6a 20 3c 3c 2f 4c 69 6e 65 61 72 69 7a 65 64 20 31 2f 4c 20 31 39 36
C:\Users\John\Desktop\File,File103,None,25 50 44 46 2d 31 2e 34 0a 25 f6 e4 fc df 0a 31 20 30 20 6f 62 6a 0a 3c 3c 0a 2f 54 79 70 65 20 2f 43 61 74 61 6c 6f 67 0a 2f 56 65 72 73 69 6f 6e 20
C:\Users\John\Desktop\File,File104,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 2b 54 51 0e d9 02 00 00 a6 24 00 00 13 00 ba 01 5b 43 6f 6e 74 65 6e 74 5f 54 79 70 65 73 5d 2e 78 6d 6c 20
C:\Users\John\Desktop\File,File105,None,89 50 4e 47 0d 0a 1a 0a 00 00 00 0d 49 48 44 52 00 00 03 88 00 00 04 ec 08 06 00 00 00 c2 72 ac 0c 00 01 00 00 49 44 41 54 78 9c ec fd f9 93 24 5b 76
C:\Users\John\Desktop\File,File106,None,45 00 63 00 6c 00 69 00 70 00 73 00 65 00 20 00 50 00 75 00 62 00 6c 00 69 00 63 00 20 00 4c 00 69 00 63 00 65 00 6e 00 73 00 65 00 20 00 2d 00 20 00
C:\Users\John\Desktop\File,File107,Windows_executable,ff d8 ff e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
C:\Users\John\Desktop\File,File108,None,89 50 4e 47 0d 0a 1a 0a 00 00 00 0d 49 48 44 52 00 00 03 88 00 00 04 ec 08 06 00 00 00 c2 72 ac 0c 00 01 00 00 49 44 41 54 78 9c ec fd e9 b2 2c 49 92
C:\Users\John\Desktop\File,File109,Windows_animated_cursor,52 49 46 46 57 41 56 45 2d 31 2e 33 0a 25 e2 e3 cf d3 0a 31 20 30 20 6f 62 6a 0a 3c 3c 0a 2f 54 79 70 65 20 2f 50 61 67 65 73 0a 2f 43 6f 75 6e 74 20
C:\Users\John\Desktop\File,File110,None,4d 69 63 72 6f 73 6f 66 74 20 50 75 62 6c 69 63 20 4c 69 63 65 6e 73 65 20 28 4d 73 2d 50 4c 29 0d 0a 0d 0a 54 68 69 73 20 6c 69 63 65 6e 73 65 20 67
C:\Users\John\Desktop\File,File111,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 45 8c 02 3a bc 01 00 00 64 08 00 00 13 00 dc 01 5b 43 6f 6e 74 65 6e 74 5f 54 79 70 65 73 5d 2e 78 6d 6c 20
C:\Users\John\Desktop\File,File112,None,40 65 63 68 6f 20 6f 66 66 0d 0a 65 63 68 6f 20 52 61 6e 64 6f 6d 20 53 74 72 69 6e 67 3a 20 25 72 61 6e 64 6f 6d 25 0d 0a
C:\Users\John\Desktop\File,File113,Windows_executable,ff d8 ff e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
C:\Users\John\Desktop\File,File114,None,25 50 44 46 2d 31 2e 33 0a 25 e2 e3 cf d3 0a 31 20 30 20 6f 62 6a 0a 3c 3c 0a 2f 54 79 70 65 20 2f 50 61 67 65 73 0a 2f 43 6f 75 6e 74 20 32 30 0a 2f
C:\Users\John\Desktop\File,File115,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File116,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 74 76 54 0c d0 01 00 00 6c 0b 00 00 13 00 08 02 5b 43 6f 6e 74 65 6e 74 5f 54 79 70 65 73 5d 2e 78 6d 6c 20
C:\Users\John\Desktop\File,File117,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 9c bd 3c e3 ce 01 00 00 c4 0b 00 00 13 00 08 02 5b 43 6f 6e 74 65 6e 74 5f 54 79 70 65 73 5d 2e 78 6d 6c 20
